CUST_ID,segment,persona,assignment_margin,distance_to_centroid,confident,model_version,assignment_agreement
C10026,1,High-Spend Transactor,0.5494,2.5328,True,1.0.0,0.575
C10027,0,Cash-Advance Reliant,0.2278,2.9726,True,1.0.0,0.45
C10028,1,High-Spend Transactor,0.4966,2.9648,True,1.0.0,0.575
C10029,2,Revolving Borrower,0.54,2.3937,True,1.0.0,0.475
C10030,1,High-Spend Transactor,0.5023,3.0709,True,1.0.0,0.575
C10031,2,Revolving Borrower,0.5274,3.437,True,1.0.0,0.475
C10032,2,Revolving Borrower,0.4148,2.1805,True,1.0.0,0.475
C10033,2,Revolving Borrower,0.0576,3.8219,False,1.0.0,0.425
C10034,1,High-Spend Transactor,0.4944,2.7786,True,1.0.0,0.575
C10035,1,High-Spend Transactor,0.1077,4.3744,False,1.0.0,0.575
C10036,0,Cash-Advance Reliant,0.6731,2.0519,True,1.0.0,0.45
C10037,0,Cash-Advance Reliant,0.6041,2.3731,True,1.0.0,0.45
C10038,2,Revolving Borrower,0.6639,2.0329,True,1.0.0,0.475
C10039,0,Cash-Advance Reliant,0.0845,3.6966,False,1.0.0,0.45
C10040,2,Revolving Borrower,0.1825,4.9503,True,1.0.0,0.475
C10041,0,Cash-Advance Reliant,0.6009,2.5831,True,1.0.0,0.45
C10043,2,Revolving Borrower,0.6001,1.873,True,1.0.0,0.475
C10044,1,High-Spend Transactor,0.1035,4.8978,False,1.0.0,0.575
C10045,0,Cash-Advance Reliant,0.7682,1.4316,True,1.0.0,0.45
C10046,1,High-Spend Transactor,0.0853,3.9083,False,1.0.0,0.55
C10047,2,Revolving Borrower,0.1298,5.4211,False,1.0.0,0.475
C10048,0,Cash-Advance Reliant,0.1077,4.4878,False,1.0.0,0.45
C10049,0,Cash-Advance Reliant,0.3786,4.7612,True,1.0.0,0.45
C10050,1,High-Spend Transactor,0.3766,3.4842,True,1.0.0,0.575
C10051,2,Revolving Borrower,0.1934,3.2123,True,1.0.0,0.45
C10052,2,Revolving Borrower,0.5775,2.6439,True,1.0.0,0.475
C10053,1,High-Spend Transactor,0.1875,3.6799,True,1.0.0,0.575
C10054,0,Cash-Advance Reliant,0.8391,0.953,True,1.0.0,0.45
C10055,2,Revolving Borrower,0.1797,4.8917,True,1.0.0,0.475
C10056,1,High-Spend Transactor,0.3297,5.0762,True,1.0.0,0.575
C10057,1,High-Spend Transactor,0.1811,6.0149,True,1.0.0,0.575
C10058,2,Revolving Borrower,0.0197,5.9603,False,1.0.0,0.375
C10059,1,High-Spend Transactor,0.0815,4.4335,False,1.0.0,0.55
C10060,0,Cash-Advance Reliant,0.689,1.8554,True,1.0.0,0.45
C10061,2,Revolving Borrower,0.2553,3.3272,True,1.0.0,0.45
C10062,1,High-Spend Transactor,0.2764,3.8902,True,1.0.0,0.575
C10063,1,High-Spend Transactor,0.0671,4.9018,False,1.0.0,0.575
C10064,0,Cash-Advance Reliant,0.5411,2.9474,True,1.0.0,0.45
C10065,1,High-Spend Transactor,0.2348,6.7594,True,1.0.0,0.575
C10067,2,Revolving Borrower,0.4294,3.3541,True,1.0.0,0.475
C10068,1,High-Spend Transactor,0.2273,3.3378,True,1.0.0,0.575
C10069,0,Cash-Advance Reliant,0.6129,2.6154,True,1.0.0,0.45
C10070,0,Cash-Advance Reliant,0.8608,0.8328,True,1.0.0,0.45
C10071,1,High-Spend Transactor,0.2219,3.1377,True,1.0.0,0.575
C10072,1,High-Spend Transactor,0.1285,4.389,False,1.0.0,0.575
C10073,2,Revolving Borrower,0.4013,3.3715,True,1.0.0,0.475
C10074,2,Revolving Borrower,0.3859,4.729,True,1.0.0,0.475
C10075,0,Cash-Advance Reliant,0.5929,2.5633,True,1.0.0,0.45
C10077,1,High-Spend Transactor,0.2535,2.9765,True,1.0.0,0.575
C10078,1,High-Spend Transactor,0.7054,1.317,True,1.0.0,0.575
C10079,1,High-Spend Transactor,0.0481,3.9212,False,1.0.0,0.55
C10080,1,High-Spend Transactor,0.2254,3.7104,True,1.0.0,0.575
C10081,1,High-Spend Transactor,0.5672,2.1426,True,1.0.0,0.575
C10082,0,Cash-Advance Reliant,0.4888,3.5656,True,1.0.0,0.45
C10083,2,Revolving Borrower,0.2918,3.4595,True,1.0.0,0.45
C10084,1,High-Spend Transactor,0.7025,1.7039,True,1.0.0,0.575
C10085,0,Cash-Advance Reliant,0.6137,2.666,True,1.0.0,0.45
C10086,1,High-Spend Transactor,0.5538,2.909,True,1.0.0,0.575
C10087,1,High-Spend Transactor,0.5586,2.8638,True,1.0.0,0.575
C10088,2,Revolving Borrower,0.3593,3.2941,True,1.0.0,0.475
C10089,1,High-Spend Transactor,0.3814,3.5872,True,1.0.0,0.575
C10090,2,Revolving Borrower,0.6077,2.7163,True,1.0.0,0.475
C10092,2,Revolving Borrower,0.5725,3.0072,True,1.0.0,0.475
C10093,0,Cash-Advance Reliant,0.3755,2.7333,True,1.0.0,0.45
C10094,0,Cash-Advance Reliant,0.564,2.6988,True,1.0.0,0.45
C10095,2,Revolving Borrower,0.4098,3.9541,True,1.0.0,0.475
C10096,2,Revolving Borrower,0.6033,2.3859,True,1.0.0,0.475
C10097,0,Cash-Advance Reliant,0.5227,2.1208,True,1.0.0,0.45
C10098,1,High-Spend Transactor,0.1902,5.8506,True,1.0.0,0.575
C10099,1,High-Spend Transactor,0.1639,5.8936,True,1.0.0,0.575
C10100,0,Cash-Advance Reliant,0.5598,2.9379,True,1.0.0,0.45
C10101,1,High-Spend Transactor,0.2898,3.4583,True,1.0.0,0.575
C10102,0,Cash-Advance Reliant,0.3802,4.75,True,1.0.0,0.45
C10103,1,High-Spend Transactor,0.4395,3.7631,True,1.0.0,0.575
C10104,0,Cash-Advance Reliant,0.2537,6.4169,True,1.0.0,0.45
C10105,1,High-Spend Transactor,0.1475,5.4028,False,1.0.0,0.575
C10106,1,High-Spend Transactor,0.5484,2.8939,True,1.0.0,0.575
C10107,1,High-Spend Transactor,0.0098,4.4969,False,1.0.0,0.45
C10108,1,High-Spend Transactor,0.2536,6.6052,True,1.0.0,0.575
C10109,0,Cash-Advance Reliant,0.6311,2.2621,True,1.0.0,0.45
C10110,2,Revolving Borrower,0.3536,3.0004,True,1.0.0,0.475
C10111,1,High-Spend Transactor,0.5581,2.335,True,1.0.0,0.575
C10112,0,Cash-Advance Reliant,0.6246,2.2791,True,1.0.0,0.45
C10113,2,Revolving Borrower,0.6037,1.6132,True,1.0.0,0.475
C10114,2,Revolving Borrower,0.488,3.8463,True,1.0.0,0.475
C10115,1,High-Spend Transactor,0.624,1.9395,True,1.0.0,0.575
C10116,0,Cash-Advance Reliant,0.3785,4.7413,True,1.0.0,0.45
C10117,2,Revolving Borrower,0.5788,2.6886,True,1.0.0,0.475
C10118,0,Cash-Advance Reliant,0.5652,2.6939,True,1.0.0,0.45
C10119,1,High-Spend Transactor,0.4921,2.8907,True,1.0.0,0.575
C10120,1,High-Spend Transactor,0.5411,2.0117,True,1.0.0,0.575
C10121,1,High-Spend Transactor,0.5363,2.8339,True,1.0.0,0.575
C10122,0,Cash-Advance Reliant,0.6449,2.2238,True,1.0.0,0.45
C10123,1,High-Spend Transactor,0.5051,3.2555,True,1.0.0,0.575
C10124,0,Cash-Advance Reliant,0.77,1.3666,True,1.0.0,0.45
C10125,2,Revolving Borrower,0.4801,3.6425,True,1.0.0,0.475
C10126,1,High-Spend Transactor,0.1755,6.135,True,1.0.0,0.575
C10127,1,High-Spend Transactor,0.2279,3.8745,True,1.0.0,0.575
C10128,0,Cash-Advance Reliant,0.7019,1.7906,True,1.0.0,0.45
C10130,0,Cash-Advance Reliant,0.4321,3.6354,True,1.0.0,0.45
C10131,2,Revolving Borrower,0.0429,5.365,False,1.0.0,0.425
C10132,0,Cash-Advance Reliant,0.415,4.2025,True,1.0.0,0.45
C10133,1,High-Spend Transactor,0.1103,3.7348,False,1.0.0,0.525
C10134,0,Cash-Advance Reliant,0.0556,4.3369,False,1.0.0,0.425
C10135,0,Cash-Advance Reliant,0.2674,6.694,True,1.0.0,0.45
C10136,1,High-Spend Transactor,0.0402,7.162,False,1.0.0,0.575
C10137,1,High-Spend Transactor,0.0056,4.3628,False,1.0.0,0.425
C10138,1,High-Spend Transactor,0.5866,2.539,True,1.0.0,0.575
C10139,2,Revolving Borrower,0.2482,4.2227,True,1.0.0,0.45
C10140,1,High-Spend Transactor,0.5641,2.3487,True,1.0.0,0.575
C10141,1,High-Spend Transactor,0.2558,3.1753,True,1.0.0,0.575
C10142,1,High-Spend Transactor,0.1647,4.2129,True,1.0.0,0.575
C10143,2,Revolving Borrower,0.5795,1.8866,True,1.0.0,0.475
C10144,2,Revolving Borrower,0.1447,6.7385,False,1.0.0,0.475
C10145,2,Revolving Borrower,0.5118,2.5129,True,1.0.0,0.475
C10146,1,High-Spend Transactor,0.3156,3.278,True,1.0.0,0.575
C10147,0,Cash-Advance Reliant,0.6108,2.4934,True,1.0.0,0.45
C10148,0,Cash-Advance Reliant,0.359,4.9637,True,1.0.0,0.45
C10149,2,Revolving Borrower,0.0471,4.6617,False,1.0.0,0.425
C10150,1,High-Spend Transactor,0.1066,4.4347,False,1.0.0,0.55
C10151,1,High-Spend Transactor,0.1941,4.1203,True,1.0.0,0.575
C10152,1,High-Spend Transactor,0.2715,5.4411,True,1.0.0,0.575
C10153,0,Cash-Advance Reliant,0.3785,3.1598,True,1.0.0,0.45
C10154,1,High-Spend Transactor,0.3985,2.4209,True,1.0.0,0.575
C10155,2,Revolving Borrower,0.1384,3.1469,False,1.0.0,0.475
C10156,2,Revolving Borrower,0.4707,3.4057,True,1.0.0,0.475
C10157,1,High-Spend Transactor,0.2204,3.7024,True,1.0.0,0.575
C10158,1,High-Spend Transactor,0.4987,3.0361,True,1.0.0,0.575
C10159,2,Revolving Borrower,0.4006,4.9888,True,1.0.0,0.475
C10160,1,High-Spend Transactor,0.3974,3.824,True,1.0.0,0.575
C10161,1,High-Spend Transactor,0.4592,3.3371,True,1.0.0,0.575
C10162,2,Revolving Borrower,0.2744,5.6755,True,1.0.0,0.475
C10163,0,Cash-Advance Reliant,0.5942,2.6064,True,1.0.0,0.45
C10164,1,High-Spend Transactor,0.0552,5.3909,False,1.0.0,0.55
C10165,2,Revolving Borrower,0.0467,3.8973,False,1.0.0,0.45
C10166,0,Cash-Advance Reliant,0.7572,1.4528,True,1.0.0,0.45
C10167,0,Cash-Advance Reliant,0.6685,1.975,True,1.0.0,0.45
C10168,1,High-Spend Transactor,0.4527,2.4718,True,1.0.0,0.575
C10169,1,High-Spend Transactor,0.3437,3.0138,True,1.0.0,0.575
C10170,1,High-Spend Transactor,0.4342,3.6097,True,1.0.0,0.575
C10171,0,Cash-Advance Reliant,0.6003,2.4158,True,1.0.0,0.45
C10172,1,High-Spend Transactor,0.4688,2.9793,True,1.0.0,0.575
C10173,2,Revolving Borrower,0.1946,4.4805,True,1.0.0,0.475
C10174,1,High-Spend Transactor,0.1906,4.2226,True,1.0.0,0.575
C10175,1,High-Spend Transactor,0.5111,2.2973,True,1.0.0,0.575
C10176,0,Cash-Advance Reliant,0.5593,2.8757,True,1.0.0,0.45
C10177,2,Revolving Borrower,0.2597,5.2442,True,1.0.0,0.475
C10178,1,High-Spend Transactor,0.4886,3.5998,True,1.0.0,0.575
C10179,0,Cash-Advance Reliant,0.673,2.0106,True,1.0.0,0.45
C10180,2,Revolving Borrower,0.4743,3.7325,True,1.0.0,0.475
C10181,0,Cash-Advance Reliant,0.7709,1.3969,True,1.0.0,0.45
C10182,2,Revolving Borrower,0.2101,5.533,True,1.0.0,0.475
C10183,0,Cash-Advance Reliant,0.6667,1.9934,True,1.0.0,0.45
C10184,1,High-Spend Transactor,0.3022,4.1257,True,1.0.0,0.575
C10185,1,High-Spend Transactor,0.5502,2.8556,True,1.0.0,0.575
C10186,1,High-Spend Transactor,0.3338,3.1363,True,1.0.0,0.575
C10187,1,High-Spend Transactor,0.1513,7.2086,True,1.0.0,0.575
C10188,2,Revolving Borrower,0.0879,4.4065,False,1.0.0,0.45
C10189,1,High-Spend Transactor,0.2121,6.9355,True,1.0.0,0.575
C10190,1,High-Spend Transactor,0.6714,1.5938,True,1.0.0,0.575
C10191,1,High-Spend Transactor,0.5102,2.8362,True,1.0.0,0.575
C10192,0,Cash-Advance Reliant,0.0509,3.2316,False,1.0.0,0.375
C10193,1,High-Spend Transactor,0.2554,3.518,True,1.0.0,0.575
C10194,2,Revolving Borrower,0.0791,5.9814,False,1.0.0,0.475
C10196,2,Revolving Borrower,0.1956,3.2028,True,1.0.0,0.45
C10197,1,High-Spend Transactor,0.4454,3.7094,True,1.0.0,0.575
C10198,1,High-Spend Transactor,0.1467,6.337,False,1.0.0,0.575
C10199,0,Cash-Advance Reliant,0.1488,5.195,False,1.0.0,0.45
C10200,1,High-Spend Transactor,0.1709,4.0027,True,1.0.0,0.575
C10201,1,High-Spend Transactor,0.0592,4.4907,False,1.0.0,0.525
C10202,1,High-Spend Transactor,0.0556,4.3959,False,1.0.0,0.55
C10203,1,High-Spend Transactor,0.44,3.2809,True,1.0.0,0.575
C10204,1,High-Spend Transactor,0.4761,2.882,True,1.0.0,0.575
C10205,1,High-Spend Transactor,0.2367,3.8915,True,1.0.0,0.575
C10206,0,Cash-Advance Reliant,0.1426,3.7372,False,1.0.0,0.45
C10207,1,High-Spend Transactor,0.3419,4.582,True,1.0.0,0.575
C10208,2,Revolving Borrower,0.6037,1.7779,True,1.0.0,0.475
C10209,1,High-Spend Transactor,0.5524,2.8323,True,1.0.0,0.575
C10211,2,Revolving Borrower,0.5897,2.3197,True,1.0.0,0.475
C10212,2,Revolving Borrower,0.0662,5.3823,False,1.0.0,0.475
C10213,1,High-Spend Transactor,0.3537,4.3535,True,1.0.0,0.575
C10214,2,Revolving Borrower,0.3446,3.0497,True,1.0.0,0.475
C10215,2,Revolving Borrower,0.5227,2.6453,True,1.0.0,0.475
C10216,2,Revolving Borrower,0.6497,2.2557,True,1.0.0,0.475
C10217,1,High-Spend Transactor,0.5341,2.9298,True,1.0.0,0.575
C10218,2,Revolving Borrower,0.5938,2.2466,True,1.0.0,0.475
C10219,1,High-Spend Transactor,0.164,3.6204,True,1.0.0,0.575
C10220,0,Cash-Advance Reliant,0.623,2.2645,True,1.0.0,0.45
C10221,1,High-Spend Transactor,0.3972,3.0197,True,1.0.0,0.575
C10222,1,High-Spend Transactor,0.6326,2.2552,True,1.0.0,0.575
C10223,1,High-Spend Transactor,0.1672,7.1423,True,1.0.0,0.575
C10224,2,Revolving Borrower,0.3665,2.6558,True,1.0.0,0.475
C10226,1,High-Spend Transactor,0.5492,2.9204,True,1.0.0,0.575
C10227,2,Revolving Borrower,0.6007,2.0571,True,1.0.0,0.475
C10228,2,Revolving Borrower,0.3495,3.3713,True,1.0.0,0.475
C10229,2,Revolving Borrower,0.1243,5.7869,False,1.0.0,0.475
C10230,1,High-Spend Transactor,0.1304,3.8912,False,1.0.0,0.575
C10231,1,High-Spend Transactor,0.2707,4.3878,True,1.0.0,0.575
C10232,1,High-Spend Transactor,0.0576,4.137,False,1.0.0,0.55
C10233,2,Revolving Borrower,0.0451,5.5872,False,1.0.0,0.45
C10234,1,High-Spend Transactor,0.3414,3.741,True,1.0.0,0.575
C10235,2,Revolving Borrower,0.0207,4.4562,False,1.0.0,0.275
C10236,1,High-Spend Transactor,0.1857,3.4197,True,1.0.0,0.575
C10237,0,Cash-Advance Reliant,0.2518,5.9798,True,1.0.0,0.45
C10238,1,High-Spend Transactor,0.121,5.3248,False,1.0.0,0.575
C10239,1,High-Spend Transactor,0.3303,3.0015,True,1.0.0,0.575
C10240,1,High-Spend Transactor,0.3659,3.1968,True,1.0.0,0.575
C10241,2,Revolving Borrower,0.4794,2.4281,True,1.0.0,0.475
C10242,1,High-Spend Transactor,0.0389,4.731,False,1.0.0,0.55
C10243,2,Revolving Borrower,0.4981,2.4415,True,1.0.0,0.475
C10244,1,High-Spend Transactor,0.1309,6.0679,False,1.0.0,0.575
C10245,2,Revolving Borrower,0.2957,3.4561,True,1.0.0,0.45
C10246,2,Revolving Borrower,0.3056,2.8713,True,1.0.0,0.475
C10247,1,High-Spend Transactor,0.1247,4.2938,False,1.0.0,0.575
C10248,1,High-Spend Transactor,0.2508,3.3558,True,1.0.0,0.575
C10249,2,Revolving Borrower,0.0967,6.6638,False,1.0.0,0.45
C10250,1,High-Spend Transactor,0.4729,3.0357,True,1.0.0,0.575
C10251,1,High-Spend Transactor,0.1812,4.4377,True,1.0.0,0.575
C10252,1,High-Spend Transactor,0.3733,3.3675,True,1.0.0,0.575
C10253,1,High-Spend Transactor,0.0244,4.3903,False,1.0.0,0.55
C10254,1,High-Spend Transactor,0.4747,3.663,True,1.0.0,0.575
C10255,1,High-Spend Transactor,0.4555,2.558,True,1.0.0,0.575
C10256,1,High-Spend Transactor,0.4914,3.3709,True,1.0.0,0.575
C10257,2,Revolving Borrower,0.3441,4.1668,True,1.0.0,0.475
C10258,2,Revolving Borrower,0.0638,4.6185,False,1.0.0,0.475
C10259,2,Revolving Borrower,0.4567,2.7191,True,1.0.0,0.475
C10260,1,High-Spend Transactor,0.2679,3.6696,True,1.0.0,0.575
C10261,1,High-Spend Transactor,0.5747,2.7342,True,1.0.0,0.575
C10262,1,High-Spend Transactor,0.3744,3.6069,True,1.0.0,0.6
C10263,0,Cash-Advance Reliant,0.6575,2.0353,True,1.0.0,0.45
C10265,1,High-Spend Transactor,0.4965,3.3826,True,1.0.0,0.575
C10266,1,High-Spend Transactor,0.2255,4.494,True,1.0.0,0.575
C10267,2,Revolving Borrower,0.5986,1.8304,True,1.0.0,0.475
C10269,1,High-Spend Transactor,0.106,4.5717,False,1.0.0,0.575
C10270,0,Cash-Advance Reliant,0.7601,1.4126,True,1.0.0,0.45
C10271,1,High-Spend Transactor,0.2117,4.2011,True,1.0.0,0.575
C10272,2,Revolving Borrower,0.4038,2.8248,True,1.0.0,0.475
C10273,2,Revolving Borrower,0.3558,3.5328,True,1.0.0,0.475
C10274,2,Revolving Borrower,0.4648,4.3243,True,1.0.0,0.475
C10275,1,High-Spend Transactor,0.6001,1.9648,True,1.0.0,0.575
C10276,2,Revolving Borrower,0.0884,5.0119,False,1.0.0,0.475
C10277,1,High-Spend Transactor,0.3336,3.1404,True,1.0.0,0.575
C10278,1,High-Spend Transactor,0.2037,3.7565,True,1.0.0,0.575
C10279,1,High-Spend Transactor,0.4406,3.3729,True,1.0.0,0.575
C10280,2,Revolving Borrower,0.3431,4.0235,True,1.0.0,0.475
C10281,2,Revolving Borrower,0.1351,4.5413,False,1.0.0,0.475
C10282,0,Cash-Advance Reliant,0.1265,3.2883,False,1.0.0,0.45
C10283,1,High-Spend Transactor,0.4711,2.837,True,1.0.0,0.6
C10284,2,Revolving Borrower,0.0465,6.5967,False,1.0.0,0.475
C10285,2,Revolving Borrower,0.4087,3.988,True,1.0.0,0.475
C10286,1,High-Spend Transactor,0.2804,4.3825,True,1.0.0,0.575
C10287,0,Cash-Advance Reliant,0.1111,3.3246,False,1.0.0,0.45
C10288,1,High-Spend Transactor,0.2096,6.9932,True,1.0.0,0.575
C10289,1,High-Spend Transactor,0.3465,3.5747,True,1.0.0,0.575
C10290,2,Revolving Borrower,0.5386,1.9595,True,1.0.0,0.475
C10291,2,Revolving Borrower,0.0358,4.715,False,1.0.0,0.375
C10292,2,Revolving Borrower,0.2081,3.9089,True,1.0.0,0.475
C10293,1,High-Spend Transactor,0.5707,2.0336,True,1.0.0,0.575
C10294,1,High-Spend Transactor,0.0436,4.4093,False,1.0.0,0.55
C10295,0,Cash-Advance Reliant,0.495,3.4557,True,1.0.0,0.45
C10296,0,Cash-Advance Reliant,0.5356,2.8139,True,1.0.0,0.45
C10297,0,Cash-Advance Reliant,0.7785,1.3128,True,1.0.0,0.45
C10298,2,Revolving Borrower,0.5602,2.0117,True,1.0.0,0.475
C10299,1,High-Spend Transactor,0.4357,3.5445,True,1.0.0,0.575
C10300,0,Cash-Advance Reliant,0.6151,2.3237,True,1.0.0,0.45
C10301,1,High-Spend Transactor,0.3958,3.2916,True,1.0.0,0.575
C10302,2,Revolving Borrower,0.5107,2.3625,True,1.0.0,0.475
C10303,1,High-Spend Transactor,0.1331,4.409,False,1.0.0,0.575
C10304,0,Cash-Advance Reliant,0.6796,1.9259,True,1.0.0,0.45
C10305,1,High-Spend Transactor,0.5517,2.7009,True,1.0.0,0.575
C10306,1,High-Spend Transactor,0.2865,4.2229,True,1.0.0,0.575
C10307,2,Revolving Borrower,0.0168,3.5912,False,1.0.0,0.525
C10308,0,Cash-Advance Reliant,0.608,2.3393,True,1.0.0,0.45
C10309,1,High-Spend Transactor,0.1304,3.9342,False,1.0.0,0.575
C10310,2,Revolving Borrower,0.0648,4.4631,False,1.0.0,0.475
C10311,2,Revolving Borrower,0.3606,2.9286,True,1.0.0,0.475
C10312,1,High-Spend Transactor,0.1457,4.0089,False,1.0.0,0.575
C10313,0,Cash-Advance Reliant,0.5488,2.671,True,1.0.0,0.45
C10314,1,High-Spend Transactor,0.5434,2.2662,True,1.0.0,0.575
C10315,0,Cash-Advance Reliant,0.5116,3.0582,True,1.0.0,0.45
C10316,1,High-Spend Transactor,0.4365,3.1682,True,1.0.0,0.6
C10317,1,High-Spend Transactor,0.5109,2.6146,True,1.0.0,0.6
C10318,1,High-Spend Transactor,0.551,2.4342,True,1.0.0,0.575
C10319,0,Cash-Advance Reliant,0.7896,1.2886,True,1.0.0,0.45
C10320,1,High-Spend Transactor,0.261,4.9839,True,1.0.0,0.575
C10321,1,High-Spend Transactor,0.5293,2.5856,True,1.0.0,0.575
C10322,2,Revolving Borrower,0.6416,2.0085,True,1.0.0,0.475
C10323,1,High-Spend Transactor,0.1686,6.305,True,1.0.0,0.575
C10324,0,Cash-Advance Reliant,0.7838,1.326,True,1.0.0,0.45
C10325,0,Cash-Advance Reliant,0.7959,1.1989,True,1.0.0,0.45
C10326,0,Cash-Advance Reliant,0.6069,2.6896,True,1.0.0,0.45
C10327,0,Cash-Advance Reliant,0.7644,1.398,True,1.0.0,0.45
C10328,1,High-Spend Transactor,0.3013,3.5483,True,1.0.0,0.575
C10329,1,High-Spend Transactor,0.5342,2.8032,True,1.0.0,0.575
C10330,1,High-Spend Transactor,0.2894,5.2992,True,1.0.0,0.575
C10331,0,Cash-Advance Reliant,0.418,2.7164,True,1.0.0,0.45
C10332,2,Revolving Borrower,0.5726,2.6295,True,1.0.0,0.475
C10333,0,Cash-Advance Reliant,0.5677,2.661,True,1.0.0,0.45
C10334,1,High-Spend Transactor,0.2467,3.8248,True,1.0.0,0.575
C10335,0,Cash-Advance Reliant,0.8271,1.0383,True,1.0.0,0.45
C10336,1,High-Spend Transactor,0.5306,2.8575,True,1.0.0,0.575
C10337,1,High-Spend Transactor,0.1458,4.4212,False,1.0.0,0.575
C10338,2,Revolving Borrower,0.5235,2.6018,True,1.0.0,0.475
C10339,0,Cash-Advance Reliant,0.7977,1.1373,True,1.0.0,0.45
C10340,1,High-Spend Transactor,0.3261,3.8196,True,1.0.0,0.575
C10341,0,Cash-Advance Reliant,0.6916,1.8761,True,1.0.0,0.45
C10342,1,High-Spend Transactor,0.4481,3.2458,True,1.0.0,0.575
C10343,1,High-Spend Transactor,0.3,3.4884,True,1.0.0,0.575
C10344,1,High-Spend Transactor,0.2977,4.0973,True,1.0.0,0.575
C10345,0,Cash-Advance Reliant,0.6959,1.8365,True,1.0.0,0.45
C10346,0,Cash-Advance Reliant,0.0042,4.1174,False,1.0.0,0.2
C10347,1,High-Spend Transactor,0.4539,3.3686,True,1.0.0,0.575
C10348,1,High-Spend Transactor,0.273,4.221,True,1.0.0,0.575
C10349,1,High-Spend Transactor,0.5385,3.1149,True,1.0.0,0.575
C10350,1,High-Spend Transactor,0.2425,3.9494,True,1.0.0,0.575
C10351,0,Cash-Advance Reliant,0.1679,2.9766,True,1.0.0,0.45
C10352,2,Revolving Borrower,0.2629,5.5688,True,1.0.0,0.475
C10353,2,Revolving Borrower,0.1596,3.571,True,1.0.0,0.45
C10354,1,High-Spend Transactor,0.3657,4.2816,True,1.0.0,0.575
C10355,1,High-Spend Transactor,0.3528,3.66,True,1.0.0,0.575
C10356,1,High-Spend Transactor,0.6872,1.8643,True,1.0.0,0.575
C10357,1,High-Spend Transactor,0.2538,3.4187,True,1.0.0,0.575
C10358,1,High-Spend Transactor,0.4668,2.236,True,1.0.0,0.575
C10359,2,Revolving Borrower,0.5267,3.1767,True,1.0.0,0.475
C10360,1,High-Spend Transactor,0.5516,2.8415,True,1.0.0,0.575
C10361,0,Cash-Advance Reliant,0.6405,2.1387,True,1.0.0,0.45
C10362,1,High-Spend Transactor,0.1732,3.9325,True,1.0.0,0.575
C10364,2,Revolving Borrower,0.6049,2.7565,True,1.0.0,0.475
C10365,1,High-Spend Transactor,0.2147,6.9619,True,1.0.0,0.575
C10366,1,High-Spend Transactor,0.4003,4.1506,True,1.0.0,0.575
C10367,1,High-Spend Transactor,0.2,3.8518,True,1.0.0,0.575
C10368,1,High-Spend Transactor,0.4586,3.0763,True,1.0.0,0.575
C10369,2,Revolving Borrower,0.0596,3.9351,False,1.0.0,0.45
C10370,0,Cash-Advance Reliant,0.5013,3.405,True,1.0.0,0.45
C10371,0,Cash-Advance Reliant,0.6909,1.9081,True,1.0.0,0.45
C10372,1,High-Spend Transactor,0.5733,1.8957,True,1.0.0,0.575
C10373,0,Cash-Advance Reliant,0.8282,1.0304,True,1.0.0,0.45
C10374,1,High-Spend Transactor,0.61,2.0122,True,1.0.0,0.575
C10375,2,Revolving Borrower,0.3722,4.4551,True,1.0.0,0.475
C10376,2,Revolving Borrower,0.0903,3.6375,False,1.0.0,0.45
C10377,1,High-Spend Transactor,0.1844,4.2274,True,1.0.0,0.575
